sentence	pronoun	candidates	label	correct	right	left	split
Doctor Igor was interrogated by Colonel Marshall because he had vital information on the location of enemy forces.	he	['Doctor Igor' 'Colonel Marshall']	0	Doctor Igor had vital information on the location of enemy forces.	had vital information on the location of enemy forces.	Doctor Igor was interrogated by Colonel Marshall because	train
Doctor Igor was interrogated by Colonel Marshall, although he did not have good interrogation skills.	he	['Doctor Igor' 'Colonel Marshall']	1	Colonel Marshall did not have good interrogation skills.	did not have good interrogation skills.	Doctor Igor was interrogated by Colonel Marshall, although	train
New York City was grateful for the sacrifices the American Armed Forces did to save their city because they managed to divert a devastating attack.	they	['New York City' 'the American Armed Forces']	1	the American Armed Forces managed to divert a devastating attack.	managed to divert a devastating attack.	New York City was grateful for the sacrifices the American Armed Forces did to save their city because	train
New York City was grateful for the sacrifices the American Armed Forces did to save their city since they are able to enjoy another day due to their heroics.	they	['New York City' 'the American Armed Forces']	0	New York City are able to enjoy another day due to their heroics.	are able to enjoy another day due to their heroics.	New York City was grateful for the sacrifices the American Armed Forces did to save their city since	train
Cartman wanted Kenny to go to the same school as him because he enjoyed his company.	he	['Cartman' 'Kenny']	0	Cartman enjoyed his company.	enjoyed his company.	Cartman wanted Kenny to go to the same school as him because	train
Cartman wanted Kenny to go to the same school as him, but he refused.	he	['Cartman' 'Kenny']	1	Kenny refused.	refused.	Cartman wanted Kenny to go to the same school as him, but	train
The Autobots fight with every ounce of strength against the Decepticons since they wish to keep the planet safe.	they	['The Autobots' 'the Decepticons']	0	The Autobots wish to keep the planet safe.	wish to keep the planet safe.	The Autobots fight with every ounce of strength against the Decepticons since	train
The Autobots fight with every ounce of strength against the Decepticons, but they fight back just as hard.	they	['The Autobots' 'the Decepticons']	1	the Decepticons fight back just as hard.	fight back just as hard.	The Autobots fight with every ounce of strength against the Decepticons, but	train
Bumblebee was sent home with Sam Witwicky to protect him since he needed to be protected from the Decepticons.	he	['Bumblebee' 'Sam Witwicky']	0	Bumblebee needed to be protected from the Decepticons.	needed to be protected from the Decepticons.	Bumblebee was sent home with Sam Witwicky to protect him since	train
Bumblebee was sent home with Sam Witwicky to protect him so he is on watch 7 days a week.	he	['Bumblebee' 'Sam Witwicky']	1	Sam Witwicky is on watch 7 days a week.	is on watch 7 days a week.	Bumblebee was sent home with Sam Witwicky to protect him so	train
President Obama rewarded Sam with a medal for his valorous acts because he saved the world at least twice.	he	['President Obama' 'Sam']	1	Sam saved the world at least twice.	saved the world at least twice.	President Obama rewarded Sam with a medal for his valorous acts because	train
President Obama rewarded Sam with a medal for his valorous acts since he wanted the world to know his contribution to the world.	he	['President Obama' 'Sam']	0	President Obama wanted the world to know his contribution to the world.	wanted the world to know his contribution to the world.	President Obama rewarded Sam with a medal for his valorous acts since	train
NASA helped the Autobots to exile from the planet since they had a transport that could take them off the planet.	they	['NASA' 'the Autobots']	0	NASA had a transport that could take them off the planet.	had a transport that could take them off the planet.	NASA helped the Autobots to exile from the planet since	train
NASA helped the Autobots to exile from the planet after they were told to leave.	they	['NASA' 'the Autobots']	1	the Autobots were told to leave.	were told to leave.	NASA helped the Autobots to exile from the planet after	train
Tech Analysts have speculated that Amazon will be releasing a phone next year since they have made a contract with vendors for phone parts.	they	['Tech Analysts' 'Amazon']	1	Amazon have made a contract with vendors for phone parts.	have made a contract with vendors for phone parts.	Tech Analysts have speculated that Amazon will be releasing a phone next year since	train
Tech Analysts have speculated that Amazon will be releasing a phone next year, but they are only speculating at this point.	they	['Tech Analysts' 'Amazon']	0	Tech Analysts are only speculating at this point.	are only speculating at this point.	Tech Analysts have speculated that Amazon will be releasing a phone next year, but	train
Apple recently had to recall 1st generation IPods because they had a defect in their batteries.	they	['Apple' '1st generation IPods']	1	1st generation IPods had a defect in their batteries.	had a defect in their batteries.	Apple recently had to recall 1st generation IPods because	train
Apple recently had to recall 1st generation IPods, but they did so six years after it was initially released.	they	['Apple' '1st generation IPods']	0	Apple did so six years after it was initially released.	did so six years after it was initially released.	Apple recently had to recall 1st generation IPods, but	train
The army organized their forces to sneak past the Decepticons in the city because they needed to use stealth to their advantage.	they	['The army' 'the Decepticons']	0	The army needed to use stealth to their advantage.	needed to use stealth to their advantage.	The army organized their forces to sneak past the Decepticons in the city because	train
The army organized their forces to sneak past the Decepticons in the city since they have the upper hand in a straight fight.	they	['The army' 'the Decepticons']	1	the Decepticons have the upper hand in a straight fight.	have the upper hand in a straight fight.	The army organized their forces to sneak past the Decepticons in the city since	train
Seagate recently announced to their investors that production will not go back to normal until the end of 2012 because they had their factories flooded last month.	they	['Seagate' 'their investors']	0	Seagate had their factories flooded last month.	had their factories flooded last month.	Seagate recently announced to their investors that production will not go back to normal until the end of 2012 because	train
Seagate recently announced to their investors that production will not go back to normal until the end of 2012, so they may end up selling their stock.	they	['Seagate' 'their investors']	1	their investors may end up selling their stock.	may end up selling their stock.	Seagate recently announced to their investors that production will not go back to normal until the end of 2012, so	train
Skype has entered a partnership with Facebook, and they hope that this can help to promote their video calling.	they	['Skype' 'Facebook']	0	Skype hope that this can help to promote their video calling.	hope that this can help to promote their video calling.	Skype has entered a partnership with Facebook, and	train
Skype has entered a partnership with Facebook, and they hope that more members join their social network.	they	['Skype' 'Facebook']	1	Facebook hope that more members join their social network.	hope that more members join their social network.	Skype has entered a partnership with Facebook, and	train
Bioware recently announced a stress test to beta users this weekend since they need to see the performance of their servers.	they	['Bioware' 'beta users']	0	Bioware need to see the performance of their servers.	need to see the performance of their servers.	Bioware recently announced a stress test to beta users this weekend since	train
Bioware recently announced a stress test to beta users this weekend so they are eagerly awaiting to play the much anticipated game.	they	['Bioware' 'beta users']	1	beta users are eagerly awaiting to play the much anticipated game.	are eagerly awaiting to play the much anticipated game.	Bioware recently announced a stress test to beta users this weekend so	train
U.S. Authors are fighting against Amazon's book lending program since they feel it violated their publishing rights.	they	['U.S. Authors' "Amazon's book lending program"]	0	US Authors feel it violated their publishing rights.	feel it violated their publishing rights.	U.S. Authors are fighting against Amazon's book lending program since	train
U.S. Authors are fighting against Amazon's book lending program because they allow users a free book every month.	they	['U.S. Authors' "Amazon's book lending program"]	1	Amazons book lending program allow users a free book every month.	allow users a free book every month.	U.S. Authors are fighting against Amazon's book lending program because	train
Chrome is finally set to pull ahead of Firefox in November because they have increased their popularity with internet users.	they	['Chrome' 'Firefox']	0	Chrome have increased their popularity with internet users.	have increased their popularity with internet users.	Chrome is finally set to pull ahead of Firefox in November because	train
Chrome is finally set to pull ahead of Firefox in November so they are trying hard to prevent their users from switching.	they	['Chrome' 'Firefox']	1	Firefox are trying hard to prevent their users from switching.	are trying hard to prevent their users from switching.	Chrome is finally set to pull ahead of Firefox in November so	train
The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, because they felt that this was the least they could do to thank the troops.	they	['The celebrities' 'their dates']	0	The celebrities felt that this was the least	felt that this was the least	The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, because	train
The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, so they were extremely thankful that they took time out of their schedule to come.	they	['The celebrities' 'their dates']	1	their dates were extremely thankful that	were extremely thankful that	The celebrities who agreed to go to the Marine Corp dance with their dates stayed true to their word, so	train
The US Health inspection board shut down several food factories since they were violating many rules and regulations.	they	['The US Health inspection board' 'several food factories']	1	several food factories were violating many rules and regulations.	were violating many rules and regulations.	The US Health inspection board shut down several food factories since	train
The US Health inspection board shut down several food factories, but they discovered that many rules and regulations were violated.	they	['The US Health inspection board' 'several food factories']	0	The US Health inspection board discovered that many rules and regulations were violated.	discovered that many rules and regulations were violated.	The US Health inspection board shut down several food factories, but	train
Amazon offers a generous credit program for college books since they can be resold again to other buyers.	they	['Amazon' 'college books']	1	college books can be resold again to other buyers.	can be resold again to other buyers.	Amazon offers a generous credit program for college books since	train
Amazon offers a generous credit program for college books because they want students to come back and use their credit for more purchases.	they	['Amazon' 'college books']	0	Amazon want students to come back and use their credit for more purchases.	want students to come back and use their credit for more purchases.	Amazon offers a generous credit program for college books because	train
Tiger Woods dropped Randy as his caddy because he was not satisfied with his work.	he	['Tiger Woods' 'Randy']	0	Tiger Woods was not satisfied with his work.	was not satisfied with his work.	Tiger Woods dropped Randy as his caddy because	train
Tiger Woods dropped Randy as his caddy, but he does not agree with his decision.	he	['Tiger Woods' 'Randy']	1	Randy does not agree with his decision.	does not agree with his decision.	Tiger Woods dropped Randy as his caddy, but	train
The Dallas Cowboys lost their lead to the Redskins because they started to perform very poorly in the second half.	they	['The Dallas Cowboys' 'the Redskins']	0	The Dallas Cowboys started to perform very poorly in the second half.	started to perform very poorly in the second half.	The Dallas Cowboys lost their lead to the Redskins because	train
The Dallas Cowboys lost their lead to the Redskins because they started to perform very well in the second half.	they	['The Dallas Cowboys' 'the Redskins']	1	the Redskins started to perform very well in the second half.	started to perform very well in the second half.	The Dallas Cowboys lost their lead to the Redskins because	train
The Disney characters at Disney World entertain the audience because they are there to keep people happy.	they	['The Disney characters' 'the audience']	0	The Disney characters are there to keep people happy.	are there to keep people happy.	The Disney characters at Disney World entertain the audience because	train
The Disney characters at Disney World entertain the audience since they are paying good money to having an enjoyable experience.	they	['The Disney characters' 'the audience']	1	the audience are paying good money to having an enjoyable experience.	are paying good money to having an enjoyable experience.	The Disney characters at Disney World entertain the audience since	train
The Apes were determined to be contaminated by disease specialists, but they refused to admit their fault.	they	['The Apes' 'disease specialists']	1	disease specialists refused to admit their fault.	refused to admit their fault.	The Apes were determined to be contaminated by disease specialists, but	train
The Apes were determined to be contaminated by disease specialists, so they were forced to be released in secured captivity.	they	['The Apes' 'disease specialists']	0	The Apes were forced to be released in secured captivity.	were forced to be released in secured captivity.	The Apes were determined to be contaminated by disease specialists, so	train
Lorenze took his son to the hospital because he fell off his bike and hurt his leg.	he	['Lorenze' 'his son']	1	his son fell off his bike and hurt his leg.	fell off his bike and hurt his leg.	Lorenze took his son to the hospital because	train
Lorenze took his son to the hospital since he was concerned for his health.	he	['Lorenze' 'his son']	0	Lorenze was concerned for his health.	was concerned for his health.	Lorenze took his son to the hospital since	train
Sheila made chicken noodle soup for her daughter since she knew it would help her get over her cold.	she	['Sheila' 'her daughter']	0	Sheila knew it would help her get over her cold.	knew it would help her get over her cold.	Sheila made chicken noodle soup for her daughter since	train
Sheila made chicken noodle soup for her daughter, but she wanted cereal instead.	she	['Sheila' 'her daughter']	1	her daughter wanted cereal instead.	wanted cereal instead.	Sheila made chicken noodle soup for her daughter, but	train
Animal Control takes control of lost animals in the city so they will not pose any threats to the pedestrians.	they	['Animal Control' 'lost animals']	1	lost animals will not pose any threats to the pedestrians.	will not pose any threats to the pedestrians.	Animal Control takes control of lost animals in the city so	train
Animal Control takes control of lost animals in the city because they are hired by the city to perform these duties.	they	['Animal Control' 'lost animals']	0	Animal Control are hired by the city to perform these duties.	are hired by the city to perform these duties.	Animal Control takes control of lost animals in the city because	train
Walmart is enforcing strict guidelines for customers this Black Friday because they do not want a recap of the disaster that occurred the previous year.	they	['Walmart' 'customers']	0	Walmart do not want a recap of the disaster that occurred the previous year.	do not want a recap of the disaster that occurred the previous year.	Walmart is enforcing strict guidelines for customers this Black Friday because	train
Walmart is enforcing strict guidelines for customers this Black Friday, but they may not always follow them even if they are enforced.	they	['Walmart' 'customers']	1	customers may not always follow them even if	may not always follow them even if	Walmart is enforcing strict guidelines for customers this Black Friday, but	train
The zookeepers make sure to feed the chimps on a daily schedule so they can remain healthy and content.	they	['The zookeepers' 'the chimps']	1	the chimps can remain healthy and content.	can remain healthy and content.	The zookeepers make sure to feed the chimps on a daily schedule so	train
The zookeepers make sure to feed the chimps on a daily schedule because they are required to do so under animal cruelty regulations.	they	['The zookeepers' 'the chimps']	0	The zookeepers are required to do so under animal cruelty regulations.	are required to do so under animal cruelty regulations.	The zookeepers make sure to feed the chimps on a daily schedule because	train
Chase will have a cyber monday sale for credit users since they want to entice users to continue using their cards.	they	['Chase' 'credit users']	0	Chase want to entice users to continue using their cards.	want to entice users to continue using their cards.	Chase will have a cyber monday sale for credit users since	train
Chase will have a cyber monday sale for credit users, but they may not necessarily care about the sale.	they	['Chase' 'credit users']	1	credit users may not necessarily care about the sale.	may not necessarily care about the sale.	Chase will have a cyber monday sale for credit users, but	train
Caesar the ape found out the door code by watching Morris, so he was able to escape.	he	['Caesar the ape' 'Morris']	0	Caesar the ape was able to escape.	was able to escape.	Caesar the ape found out the door code by watching Morris, so	train
Caesar the ape found out the door code by watching Morris, because he was careless when typing in the code.	he	['Caesar the ape' 'Morris']	1	Morris was careless when typing in the code.	was careless when typing in the code.	Caesar the ape found out the door code by watching Morris, because	train
The security forces were not able to stop the mass of apes because they simply had them outnumbered.	they	['The security forces' 'the mass of apes']	1	the mass of apes simply had them outnumbered.	simply had them outnumbered.	The security forces were not able to stop the mass of apes because	train
The security forces were not able to stop the mass of apes since they did not have the manpower to stop that many.	they	['The security forces' 'the mass of apes']	0	The security forces did not have the manpower to stop that many.	did not have the manpower to stop that many.	The security forces were not able to stop the mass of apes since	train
The police tried to blockade the bridge to prevent the criminals from escaping, but they needed additional backup to be successful.	they	['The police' 'the criminals']	0	The police needed additional backup to be successful.	needed additional backup to be successful.	The police tried to blockade the bridge to prevent the criminals from escaping, but	train
The police tried to blockade the bridge to prevent the criminals from escaping because they needed to pass this route to gain freedom.	they	['The police' 'the criminals']	1	the criminals needed to pass this route to gain freedom.	needed to pass this route to gain freedom.	The police tried to blockade the bridge to prevent the criminals from escaping because	train
Master Sifu passes wisdom on to Jack because he has much to teach him.	he	['Master Sifu' 'Jack']	0	Master Sifu has much to teach him.	has much to teach him.	Master Sifu passes wisdom on to Jack because	train
Master Sifu passes wisdom on to Jack so he listens very intently to what he has to say.	he	['Master Sifu' 'Jack']	1	Jack listens very intently to what	listens very intently to what	Master Sifu passes wisdom on to Jack so	train
The Chinese Empire banished the Wu Shu family from the kingdom because they committed atrocities that could not allow.	they	['The Chinese Empire' 'the Wu Shu family']	1	the Wu Shu family committed atrocities that could not allow.	committed atrocities that could not allow.	The Chinese Empire banished the Wu Shu family from the kingdom because	train
The Chinese Empire banished the Wu Shu family from the kingdom since they tried to avoid conflict.	they	['The Chinese Empire' 'the Wu Shu family']	0	The Chinese Empire tried to avoid conflict.	tried to avoid conflict.	The Chinese Empire banished the Wu Shu family from the kingdom since	train
Deal sites that monitor stores will be active during Thanksgiving weekend because they will be offering huge discount during this shopping weekend.	they	['Deal sites' 'stores']	1	stores will be offering huge discount during this shopping weekend.	will be offering huge discount during this shopping weekend.	Deal sites that monitor stores will be active during Thanksgiving weekend because	train
Deal sites that monitor stores will be active during Thanksgiving weekend, but they do not necessarily guarantee you will get it first.	they	['Deal sites' 'stores']	0	Deal sites do not necessarily guarantee you will get it first.	do not necessarily guarantee you will get it first.	Deal sites that monitor stores will be active during Thanksgiving weekend, but	train
The Magnificent Five will battle it out with Shen Yu's forces because they will need to end his rein of terror.	they	['The Magnificent Five' "Shen Yu's forces"]	0	The Magnificent Five will need to end his rein of terror.	will need to end his rein of terror.	The Magnificent Five will battle it out with Shen Yu's forces because	train
The Magnificent Five will battle it out with Shen Yu's forces, but they may try and run away.	they	['The Magnificent Five' "Shen Yu's forces"]	1	Shen Yus forces may try and run away.	may try and run away.	The Magnificent Five will battle it out with Shen Yu's forces, but	train
Herman Cain has fallen in the polls while Mitt Romney has increased his foothold because he is garnering more popularity among potential voters.	he	['Herman Cain' 'Mitt Romney']	1	Mitt Romney is garnering more popularity among potential voters.	is garnering more popularity among potential voters.	Herman Cain has fallen in the polls while Mitt Romney has increased his foothold because	train
Herman Cain has fallen in the polls while Mitt Romney has increased his foothold, but he may have a comeback in the polls after the next debate.	he	['Herman Cain' 'Mitt Romney']	0	Herman Cain may have a comeback in the polls after the next debate.	may have a comeback in the polls after the next debate.	Herman Cain has fallen in the polls while Mitt Romney has increased his foothold, but	train
Jackie Chan is starting to become like Chuck Norris, because he is getting close to the age that he retired in his career.	he	['Jackie Chan' 'Chuck Norris']	0	Jackie Chan is getting close to the age that	is getting close to the age that	Jackie Chan is starting to become like Chuck Norris, because	train
Jackie Chan is starting to become like Chuck Norris since he retired at the age he has now reached.	he	['Jackie Chan' 'Chuck Norris']	1	Chuck Norris retired at the age	retired at the age	Jackie Chan is starting to become like Chuck Norris since	train
Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future because they think we may face extinction if Aliens ever came for our resources.	they	['Some people' 'the Ontario conventions']	0	Some people think we may face extinction if Aliens ever came for our resources.	think we may face extinction if Aliens ever came for our resources.	Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future because	train
Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future since they are places where people can voice these kinds of concerns among like minded people.	they	['Some people' 'the Ontario conventions']	1	the Ontario conventions are places where people can voice these kinds of concerns among like minded people.	are places where people can voice these kinds of concerns among like minded people.	Some people proclaimed at the Ontario conventions that we need to colonize planets in the near future since	train
Retail stores have been trying to pass an internet tax on online retailers for the past few years because they feel it would level the playing field.	they	['Retail stores' 'online retailers']	0	Retail stores feel it would level the playing field.	feel it would level the playing field.	Retail stores have been trying to pass an internet tax on online retailers for the past few years because	train
Retail stores have been trying to pass an internet tax on online retailers for the past few years, but they are adamant on fighting against this regulation they are trying to impose.	they	['Retail stores' 'online retailers']	1	online retailers are adamant on fighting against this regulation	are adamant on fighting against this regulation	Retail stores have been trying to pass an internet tax on online retailers for the past few years, but	train
Peacocks are considered very majestic birds by bird watchers because they are considered quite beautiful due to their vivid colors.	they	['Peacocks' 'bird watchers']	0	Peacocks are considered quite beautiful due to their vivid colors.	are considered quite beautiful due to their vivid colors.	Peacocks are considered very majestic birds by bird watchers because	train
Peacocks are considered very majestic birds by bird watchers, but they know it is just a perception of how they see things.	they	['Peacocks' 'bird watchers']	1	bird watchers know it is just a perception of how	know it is just a perception of how	Peacocks are considered very majestic birds by bird watchers, but	train
The management always favor the employees who are always on time because they show dedication to their job.	they	['The management' 'the employees']	1	the employees show dedication to their job.	show dedication to their job.	The management always favor the employees who are always on time because	train
The management always favor the employees who are always on time, but they need to factor in other factors to determine their performance as well.	they	['The management' 'the employees']	0	The management need to factor in other factors to determine their performance as well.	need to factor in other factors to determine their performance as well.	The management always favor the employees who are always on time, but	train
Boyfriends always try to go out of their way to treat their girlfriends with respect because they are more inclined to stay with them when they are respected.	they	['Boyfriends' 'their girlfriends']	1	their girlfriends are more inclined to stay with them when	are more inclined to stay with them when	Boyfriends always try to go out of their way to treat their girlfriends with respect because	train
Boyfriends always try to go out of their way to treat their girlfriends with respect, but they want to be treated with respect as well.	they	['Boyfriends' 'their girlfriends']	0	Boyfriends want to be treated with respect as well.	want to be treated with respect as well.	Boyfriends always try to go out of their way to treat their girlfriends with respect, but	train
Treasure hunters have to constantly fear running into bandits because they could be risking their lives if they encounter them.	they	['Treasure hunters' 'bandits']	0	Treasure hunters could be risking their lives if	could be risking their lives if	Treasure hunters have to constantly fear running into bandits because	train
Treasure hunters have to constantly fear running into bandits, even though they are rarely out to get them.	they	['Treasure hunters' 'bandits']	1	bandits are rarely out to get them.	are rarely out to get them.	Treasure hunters have to constantly fear running into bandits, even though	train
The pyramids are a maze which contains a great deal of treasure, but they are not always in each of them.	they	['The pyramids' 'treasure']	1	treasure are not always in each of them.	are not always in each of them.	The pyramids are a maze which contains a great deal of treasure, but	train
The pyramids are a maze which contains a great deal of treasure, so they constantly attract treasure hunters exploring the depths.	they	['The pyramids' 'treasure']	0	The pyramids constantly attract treasure hunters exploring the depths.	constantly attract treasure hunters exploring the depths.	The pyramids are a maze which contains a great deal of treasure, so	train
Ebay is often considered a great source by deal hunters to buy products, even though they often see misleading descriptions.	they	['Ebay' 'deal hunters']	1	deal hunters often see misleading descriptions.	often see misleading descriptions.	Ebay is often considered a great source by deal hunters to buy products, even though	train
Ebay is often considered a great source by deal hunters to buy products, even though they often contain misleading descriptions.	they	['Ebay' 'deal hunters']	0	Ebay often contain misleading descriptions.	often contain misleading descriptions.	Ebay is often considered a great source by deal hunters to buy products, even though	train
Sharon was not able to share her supplies with Molly because she did not have enough to spare.	she	['Sharon' 'Molly']	0	Sharon did not have enough to spare.	did not have enough to spare.	Sharon was not able to share her supplies with Molly because	train
Sharon was not able to share her supplies with Molly, even though she desperately needs supplies.	she	['Sharon' 'Molly']	1	Molly desperately needs supplies.	desperately needs supplies.	Sharon was not able to share her supplies with Molly, even though	train
Hunters excel in tracking animals because they can see the trail they leave in the forest.	they	['Hunters' 'animals']	0	Hunters can see the trail	can see the trail	Hunters excel in tracking animals because	train
Hunters excel in tracking animals because they often leave some sort of mark when traveling through the forest.	they	['Hunters' 'animals']	1	animals often leave some sort of mark when traveling through the forest.	often leave some sort of mark when traveling through the forest.	Hunters excel in tracking animals because	train
Gun instructors provide the best tips and practices to keep their students safe from firearm usage since they have years of experience from handling guns in their lifetime.	they	['Gun instructors' 'their students']	0	Gun instructors have years of experience from handling guns in their lifetime.	have years of experience from handling guns in their lifetime.	Gun instructors provide the best tips and practices to keep their students safe from firearm usage since	train
Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but they need to make sure they listen to these lessons to be safe.	they	['Gun instructors' 'their students']	1	their students need to make sure	need to make sure	Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but	train
Medics have a tough job of trying to heal the wounded since they normally have to fix them in hostile environments.	they	['Medics' 'the wounded']	0	Medics normally have to fix them in hostile environments.	normally have to fix them in hostile environments.	Medics have a tough job of trying to heal the wounded since	train
Medics have a tough job of trying to heal the wounded because they are normally hurt in dangerous scenarios.	they	['Medics' 'the wounded']	1	the wounded are normally hurt in dangerous scenarios.	are normally hurt in dangerous scenarios.	Medics have a tough job of trying to heal the wounded because	train
Several energy companies are under investigation by Congress because they bankrupted even with government bailout money.	they	['Several energy companies' 'Congress']	0	Several energy companies bankrupted even with government bailout money.	bankrupted even with government bailout money.	Several energy companies are under investigation by Congress because	train
Several energy companies are under investigation by Congress since they need to find out if the money was mishandled.	they	['Several energy companies' 'Congress']	1	Congress need to find out if the money was mishandled.	need to find out if the money was mishandled.	Several energy companies are under investigation by Congress since	train
The waitress noticed that Rebecca's glass was empty, so she filled it.	she	['The waitress' 'Rebecca']	0	The waitress filled it.	filled it.	The waitress noticed that Rebecca's glass was empty, so	train
The waitress noticed that Rebecca's glass was empty, so she handed her the glass to fill it.	she	['The waitress' 'Rebecca']	1	Rebecca handed her the glass to fill it.	handed her the glass to fill it.	The waitress noticed that Rebecca's glass was empty, so	train
John shot Jack, the elephant, in my pajamas, but he did not know how it got there.	he	['John' 'Jack']	0	John did not know how it got there.	did not know how it got there.	John shot Jack, the elephant, in my pajamas, but	train
John shot Jack, the elephant, in my pajamas, but how he got there is still a mystery.	he	['John' 'Jack']	1	Jack got there is still a mystery.	got there is still a mystery.	John shot Jack, the elephant, in my pajamas, but how	train
The farmer proudly revealed his favorite chicken, because he laid a golden egg.	he	['The farmer' 'his favorite chicken']	1	his favorite chicken laid a golden egg.	laid a golden egg.	The farmer proudly revealed his favorite chicken, because	train
The farmer proudly revealed his favorite chicken, because he won the prize money.	he	['The farmer' 'his favorite chicken']	0	The farmer won the prize money.	won the prize money.	The farmer proudly revealed his favorite chicken, because	train
John could not understand his waiter, because he was deaf.	he	['John' 'his waiter']	0	John was deaf.	was deaf.	John could not understand his waiter, because	train
John could not understand his waiter, because he spoke Spanish.	he	['John' 'his waiter']	1	his waiter spoke Spanish.	spoke Spanish.	John could not understand his waiter, because	train
We gave the toys to the toddlers, because they wanted to play.	they	['the toys' 'the toddlers']	1	the toddlers wanted to play.	wanted to play.	We gave the toys to the toddlers, because	train
We gave the toys to the toddlers, because they were unopened.	they	['the toys' 'the toddlers']	0	the toys were unopened.	were unopened.	We gave the toys to the toddlers, because	train
Darth Vader said to Luke Skywalker, "I am your father", because he was his father.	he	['Darth Vader' 'Luke Skywalker']	0	Darth Vader was his father.	was his father.	Darth Vader said to Luke Skywalker, "I am your father", because	train
Darth Vader said to Luke Skywalker, "I am your father", because he was his son.	he	['Darth Vader' 'Luke Skywalker']	1	Luke Skywalker was his son.	was his son.	Darth Vader said to Luke Skywalker, "I am your father", because	train
Cathy let Joanna into her car, so she could take a test drive.	she	['Cathy' 'Joanna']	1	Joanna could take a test drive.	could take a test drive.	Cathy let Joanna into her car, so	train
Cathy let Joanna into her car, so she could sell the car.	she	['Cathy' 'Joanna']	0	Cathy could sell the car.	could sell the car.	Cathy let Joanna into her car, so	train
The policeman finally caught the criminal, because he used pepper spray and handcuffs.	he	['The policeman' 'the criminal']	0	The policeman used pepper spray and handcuffs.	used pepper spray and handcuffs.	The policeman finally caught the criminal, because	train
The policeman finally caught the criminal, because he turned himself in.	he	['The policeman' 'the criminal']	1	the criminal turned himself in.	turned himself in.	The policeman finally caught the criminal, because	train
Chris was running after John, because he stole his watch.	he	['Chris' 'John']	1	John stole his watch.	stole his watch.	Chris was running after John, because	train
Chris was running after John, because he wanted to talk to him.	he	['Chris' 'John']	0	Chris wanted to talk to him.	wanted to talk to him.	Chris was running after John, because	train
The assembly line workers were told they had been fired by the company, because they had moved the jobs overseas.	they	['The assembly line workers' 'the company']	0	The assembly line workers had been fired by the company, because 	had been fired by the company, because 	The assembly line workers were told	train
The assembly line workers were told they had been fired by the company, because they could cut costs.	they	['The assembly line workers' 'the company']	1	the company had been fired by the company, because 	had been fired by the company, because 	The assembly line workers were told	train
Ken has Adam's bike, because he gave it to him.	he	['Ken' 'Adam']	1	Adam gave it to him.	gave it to him.	Ken has Adam's bike, because	train
Ken has Adam's bike, because he took it from him.	he	['Ken' 'Adam']	0	Ken took it from him.	took it from him.	Ken has Adam's bike, because	train
Jack is an optimist, and Adam is a pessimist, then he looks at the cup half full.	he	['Jack' 'Adam']	0	Jack looks at the cup half full.	looks at the cup half full.	Jack is an optimist, and Adam is a pessimist, then	train
Jack is an optimist, and Adam is a pessimist, then he looks at the cup half empty.	he	['Jack' 'Adam']	1	Adam looks at the cup half empty.	looks at the cup half empty.	Jack is an optimist, and Adam is a pessimist, then	train
Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but they do not actually care for any of these bands.	they	['Amazon' 'oldies fans']	1	oldies fans do not actually care for any of these bands.	do not actually care for any of these bands.	Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but	train
Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but they were totally inaccurate.	they	['Amazon' 'oldies fans']	0	Amazon were totally inaccurate.	were totally inaccurate.	Amazon predicted that oldies fans would like the Queen, Led Zeppelin, Frank Sinatra, The Beatles, and the Dave Matthews Band, but	train
A motorboat turns the propeller pushing the water backwards, thus it moves forward.	it	['A motorboat' 'the propeller']	0	A motorboat moves forward.	moves forward.	A motorboat turns the propeller pushing the water backwards, thus	train
A motorboat turns the propeller pushing the water backwards, thus the it propells the vehicle forward.	it	['A motorboat' 'the propeller']	1	the propeller propells the vehicle forward.	propells the vehicle forward.	A motorboat turns the propeller pushing the water backwards, thus the	train
Student A beat student B, because he studied.	he	['Student A' 'student B']	0	Student A studied.	studied.	Student A beat student B, because	train
Student A beat student B, because he slacked off.	he	['Student A' 'student B']	1	student B slacked off.	slacked off.	Student A beat student B, because	train
Mary asked Jim not to annoy the crazy person, as he might attack him.	he	['Jim' 'the crazy person']	1	the crazy person might attack him.	might attack him.	Mary asked Jim not to annoy the crazy person, as	train
Mary asked Jim not to annoy the crazy person, as he might be attacked.	he	['Jim' 'the crazy person']	0	Jim might be attacked.	might be attacked.	Mary asked Jim not to annoy the crazy person, as	train
